host,hour,request_count,unique_urls,avg_bytes,total_bytes,error_rate,status_404,status_500,status_200,post_rate,get_rate,url_diversity,bytes_per_req,error_to_ok_ratio,max_bytes,large_req_count,anomaly_score,is_anomaly,label
titan02f,1995-07-18 18:00:00+00:00,187,111,72569.935828877,13570578,0.1657754010695187,31,0,153,0.0,1.0,0.5935828877005348,72569.935828877,0.20261437908496732,2973350,25,-0.22973327673254773,-1,ANOMALY
dsingleton.tamu.edu,1995-07-16 21:00:00+00:00,143,121,53831.48251748252,7697902,0.02097902097902098,3,0,134,0.0,1.0,0.8461538461538461,53831.48251748252,0.022388059701492536,1121554,33,-0.20697534891292613,-1,ANOMALY
argeonet.via.at,1995-07-24 07:00:00+00:00,102,81,25216.470588235294,2572080,0.27450980392156865,28,0,72,0.0,1.0,0.7941176470588235,25216.470588235294,0.3888888888888889,501126,13,-0.2024473490391695,-1,ANOMALY
ch025.chance.berkeley.edu,1995-07-04 03:00:00+00:00,151,123,25822.596026490068,3899212,0.11258278145695365,17,0,134,0.0,1.0,0.8145695364238411,25822.596026490068,0.12686567164179105,283389,28,-0.19979156550344568,-1,ANOMALY
w20-575-4.mit.edu,1995-07-05 11:00:00+00:00,136,132,34483.61029411765,4689771,0.07352941176470588,10,0,126,0.0,1.0,0.9705882352941176,34483.61029411765,0.07936507936507936,270336,33,-0.19979156550344568,-1,ANOMALY
xtsd0104.it.wsu.edu,1995-07-24 01:00:00+00:00,87,73,36406.528735632186,3167368,0.1839080459770115,16,0,71,0.0,1.0,0.8390804597701149,36406.528735632186,0.22535211267605634,257194,21,-0.19698452300757785,-1,ANOMALY
info.gte.com,1995-07-10 15:00:00+00:00,142,136,18363.161971830985,2607569,0.14084507042253522,20,0,112,0.0,1.0,0.9577464788732394,18363.161971830985,0.17857142857142858,167826,19,-0.1950815617228996,-1,ANOMALY
eci55w.kuec.kyoto-u.ac.jp,1995-07-14 03:00:00+00:00,135,98,74501.3111111111,10057677,0.007407407407407408,1,0,130,0.0,1.0,0.725925925925926,74501.3111111111,0.007692307692307693,1121554,24,-0.19466969728386474,-1,ANOMALY
avmac1.lrsm.upenn.edu,1995-07-15 23:00:00+00:00,89,87,49451.30337078652,4401166,0.033707865168539325,3,0,82,0.0,1.0,0.9775280898876404,49451.30337078652,0.036585365853658534,946425,24,-0.19443977392787348,-1,ANOMALY
astro.sd.locus.com,1995-07-18 01:00:00+00:00,121,121,69739.04958677686,8438425,0.01652892561983471,2,0,119,0.0,1.0,1.0,69739.04958677686,0.01680672268907563,241160,53,-0.190402062902419,-1,ANOMALY
dani.scp.caltech.edu,1995-07-13 09:00:00+00:00,100,92,49738.35,4973835,0.02,2,0,89,0.0,1.0,0.92,49738.35,0.02247191011235955,606208,28,-0.19018223039266668,-1,ANOMALY
hoohoo.ncsa.uiuc.edu,1995-07-19 15:00:00+00:00,67,67,5360.880597014925,359179,0.7611940298507462,51,0,15,0.0,1.0,1.0,5360.880597014925,3.4,130925,1,-0.187632198222502,-1,ANOMALY
monarch.eng.buffalo.edu,1995-07-18 19:00:00+00:00,87,48,3060.609195402299,266273,0.632183908045977,55,0,32,0.0,1.0,0.5517241379310345,3060.609195402299,1.71875,123710,1,-0.18720562485412318,-1,ANOMALY
192.190.49.48,1995-07-06 04:00:00+00:00,125,87,37271.776,4658972,0.016,2,0,122,0.0,1.0,0.696,37271.776,0.01639344262295082,517624,28,-0.1866444550125309,-1,ANOMALY
hoohoo.ncsa.uiuc.edu,1995-07-19 16:00:00+00:00,64,64,3105.59375,198758,0.78125,50,0,14,0.0,1.0,1.0,3105.59375,3.5714285714285716,62407,2,-0.1856599971564905,-1,ANOMALY
jasper.uchicago.edu,1995-07-16 20:00:00+00:00,128,96,116743.6796875,14943191,0.0,0,0,125,0.0,1.0,0.75,116743.6796875,0.0,1182717,40,-0.1851438783324274,-1,ANOMALY
phaelon.ksc.nasa.gov,1995-07-12 14:00:00+00:00,64,4,0.0,0,1.0,64,0,0,0.0,1.0,0.0625,0.0,64.0,0,0,-0.18487308165827332,-1,ANOMALY
hoohoo.ncsa.uiuc.edu,1995-07-19 17:00:00+00:00,69,69,3707.231884057971,255799,0.7681159420289855,53,0,16,0.0,1.0,1.0,3707.231884057971,3.3125,98304,2,-0.18452439539310306,-1,ANOMALY
calclab1.math.tamu.edu,1995-07-21 18:00:00+00:00,125,30,128783.4,16097925,0.008,1,0,118,0.0,1.0,0.24,128783.4,0.00847457627118644,1130496,53,-0.18410314768899194,-1,ANOMALY
news.ti.com,1995-07-05 23:00:00+00:00,171,109,16300.807017543859,2787438,0.04093567251461988,7,0,164,0.0,1.0,0.6374269005847953,16300.807017543859,0.042682926829268296,517624,9,-0.1829635232185789,-1,ANOMALY
idrisi.geo.swt.edu,1995-07-20 00:00:00+00:00,172,128,40042.232558139534,6887264,0.0,0,0,167,0.0,1.0,0.7441860465116279,40042.232558139534,0.0,1269716,23,-0.18198800286560124,-1,ANOMALY
eci07w.kuec.kyoto-u.ac.jp,1995-07-12 07:00:00+00:00,5,3,1065244.0,5326220,0.0,0,0,5,0.0,1.0,0.6,1065244.0,0.0,1269716,5,-0.180708222349921,-1,ANOMALY
gopher.ic.ac.uk,1995-07-13 12:00:00+00:00,85,68,61754.15294117647,5249103,0.011764705882352941,1,0,81,0.0,1.0,0.8,61754.15294117647,0.012345679012345678,1121554,20,-0.18037339828440369,-1,ANOMALY
wgsu11.kns.com,1995-07-25 23:00:00+00:00,181,138,42353.2044198895,7665930,0.0,0,0,181,0.0,1.0,0.7624309392265194,42353.2044198895,0.0,1030878,45,-0.17994711537211527,-1,ANOMALY
gate.fzi.de,1995-07-04 18:00:00+00:00,7,7,598318.8571428572,4188232,0.14285714285714285,1,0,6,0.0,1.0,1.0,598318.8571428572,0.16666666666666666,1269716,4,-0.17936688490086428,-1,ANOMALY
jbiagioni.npt.nuwc.navy.mil,1995-07-25 19:00:00+00:00,177,95,3076.9265536723165,544616,0.3107344632768362,55,0,112,0.0,1.0,0.536723163841808,3076.9265536723165,0.49107142857142855,29864,0,-0.1780656273615402,-1,ANOMALY
fysvz.fys.ruu.nl,1995-07-19 23:00:00+00:00,140,129,34273.94285714286,4798352,0.007142857142857143,1,0,138,0.0,1.0,0.9214285714285714,34273.94285714286,0.007246376811594203,655211,22,-0.17663294888536318,-1,ANOMALY
205.139.153.28,1995-07-01 15:00:00+00:00,7,7,279536.14285714284,1956753,0.5714285714285714,4,0,3,0.0,1.0,1.0,279536.14285714284,1.3333333333333333,1081049,2,-0.1764726654058102,-1,ANOMALY
163.206.89.4,1995-07-13 11:00:00+00:00,155,65,17714.490322580645,2745746,0.01935483870967742,3,0,144,0.0,1.0,0.41935483870967744,17714.490322580645,0.020833333333333332,377238,13,-0.17614130504809344,-1,ANOMALY
163.206.137.21,1995-07-05 14:00:00+00:00,18,14,601177.3333333334,10821192,0.0,0,0,17,0.0,0.9444444444444444,0.7777777777777778,601177.3333333334,0.0,1269716,15,-0.17565753347716107,-1,ANOMALY
ibm7.scri.fsu.edu,1995-07-28 12:00:00+00:00,63,63,143589.38095238095,9046131,0.015873015873015872,1,0,61,0.0,1.0,1.0,143589.38095238095,0.01639344262295082,1121554,22,-0.17555822508288732,-1,ANOMALY
adl.dny.rockwell.com,1995-07-14 20:00:00+00:00,48,19,335653.8333333333,16111384,0.0,0,0,48,0.0,1.0,0.3958333333333333,335653.8333333333,0.0,1082916,25,-0.17551749848518816,-1,ANOMALY
hoohoo.ncsa.uiuc.edu,1995-07-19 18:00:00+00:00,57,57,1798.1754385964912,102496,0.8070175438596491,46,0,11,0.0,1.0,1.0,1798.1754385964912,4.181818181818182,26990,0,-0.17551126340027567,-1,ANOMALY
199.75.171.163,1995-07-09 15:00:00+00:00,123,81,48709.0162601626,5991209,0.0,0,0,119,0.0,1.0,0.6585365853658537,48709.0162601626,0.0,1121554,18,-0.1754583573980878,-1,ANOMALY
lumina.gmi.edu,1995-07-24 05:00:00+00:00,130,118,37279.838461538464,4846379,0.007692307692307693,1,0,127,0.0,1.0,0.9076923076923077,37279.838461538464,0.007874015748031496,517624,28,-0.17489078850250728,-1,ANOMALY
enigma.idirect.com,1995-07-04 22:00:00+00:00,4,4,1082017.0,4328068,0.0,0,0,4,0.0,1.0,1.0,1082017.0,0.0,1269716,4,-0.1747689349432412,-1,ANOMALY
163.206.89.4,1995-07-07 13:00:00+00:00,200,144,33812.475,6762495,0.0,0,0,198,0.0,1.0,0.72,33812.475,0.0,887988,27,-0.17465703056178428,-1,ANOMALY
